1,"業務効率化の悩み",NULL,False,"2021-12-25 00:00:00",NULL,NULL,1
2,"事業開発・調査の悩み",NULL,False,"2021-12-25 00:00:00",NULL,NULL,1
3,"IT/DX推進の悩み",NULL,False,"2021-12-25 00:00:00",NULL,NULL,1
4,"開発(IT系)の悩み",NULL,False,"2021-12-25 00:00:00",NULL,NULL,1
5,"営業・マーケティングの悩み",NULL,False,"2021-12-25 00:00:00",NULL,NULL,1
6,"SDGs推進の悩み",NULL,False,"2021-12-25 00:00:00",NULL,NULL,1
7,"コミュニケーション活性化",1,False,"2021-12-25 00:00:00",NULL,NULL,2
8,"リモートワーク",1,False,"2021-12-25 00:00:00",NULL,NULL,2
9,"プロジェクト管理",1,False,"2021-12-25 00:00:00",NULL,NULL,2
10,"見える化",1,False,"2021-12-25 00:00:00",NULL,NULL,2
11,"ナレッジ蓄積",1,False,"2021-12-25 00:00:00",NULL,NULL,2
12,"情報を集める",1,False,"2021-12-25 00:00:00",NULL,NULL,2
13,"資料を作る",1,False,"2021-12-25 00:00:00",NULL,NULL,2
14,"分析をする",1,False,"2021-12-25 00:00:00",NULL,NULL,2
15,"自動化する",1,False,"2021-12-25 00:00:00",NULL,NULL,2
16,"紙を無くす",1,False,"2021-12-25 00:00:00",NULL,NULL,2
17,"採用活動をする",1,False,"2021-12-25 00:00:00",NULL,NULL,2
18,"契約/請求のムダを無くす",1,False,"2021-12-25 00:00:00",NULL,NULL,2
19,"効率的な調達",1,False,"2021-12-25 00:00:00",NULL,NULL,2
20,"組織の成長を支える",1,False,"2021-12-25 00:00:00",NULL,NULL,2
21,"その他(業務効率)",1,False,"2021-12-25 00:00:00",NULL,NULL,2
22,"クラウド利用のニーズ",2,False,"2021-12-25 00:00:00",NULL,NULL,2
23,"AIで実現できるか",2,False,"2021-12-25 00:00:00",NULL,NULL,2
24,"IoT化で実現できるか",2,False,"2021-12-25 00:00:00",NULL,NULL,2
25,"ブロックチェーン/NFTで実現できるか",2,False,"2021-12-25 00:00:00",NULL,NULL,2
26,"ネットワーク/セキュリティとは",2,False,"2021-12-25 00:00:00",NULL,NULL,2
27,"ヘルスケア関連について",2,False,"2021-12-25 00:00:00",NULL,NULL,2
28,"医療・介護関連について",2,False,"2021-12-25 00:00:00",NULL,NULL,2
29,"素材(有機/無機)について",2,False,"2021-12-25 00:00:00",NULL,NULL,2
30,"環境保護で必要なこと",2,False,"2021-12-25 00:00:00",NULL,NULL,2
31,"ロボットビジネスについて",2,False,"2021-12-25 00:00:00",NULL,NULL,2
32,"宇宙ビジネスでできること",2,False,"2021-12-25 00:00:00",NULL,NULL,2
33,"モビリティ",2,False,"2021-12-25 00:00:00",NULL,NULL,2
34,"その他(事業開発/調査)",3,False,"2021-12-25 00:00:00",NULL,NULL,2
35,"クラウド利用の定着",3,False,"2021-12-25 00:00:00",NULL,NULL,2
36,"クラウド活用事例",3,False,"2021-12-25 00:00:00",NULL,NULL,2
37,"クラウドの選定",3,False,"2021-12-25 00:00:00",NULL,NULL,2
38,"DXの取り組み事例",3,False,"2021-12-25 00:00:00",NULL,NULL,2
39,"DX推進で気をつける点",3,False,"2021-12-25 00:00:00",NULL,NULL,2
40,"セキュリティ対策について",3,False,"2021-12-25 00:00:00",NULL,NULL,2
41,"通信インフラについて",3,False,"2021-12-25 00:00:00",NULL,NULL,2
42,"その他(IT/DX推進)",3,False,"2021-12-25 00:00:00",NULL,NULL,2
43,"アプリ開発の過程と方法",4,False,"2021-12-25 00:00:00",NULL,NULL,2
44,"AI開発の過程と方法",4,False,"2021-12-25 00:00:00",NULL,NULL,2
45,"インフラアーキテクチャ",4,False,"2021-12-25 00:00:00",NULL,NULL,2
46,"受託開発の依頼について",4,False,"2021-12-25 00:00:00",NULL,NULL,2
47,"セキュリティ強度について",4,False,"2021-12-25 00:00:00",NULL,NULL,2
48,"その他(開発IT)",4,False,"2021-12-25 00:00:00",NULL,NULL,2
49,"お客様との接点を増やす",5,False,"2021-12-25 00:00:00",NULL,NULL,2
50,"ナーチャリングの効率化",5,False,"2021-12-25 00:00:00",NULL,NULL,2
51,"案件確度を上げたい",5,False,"2021-12-25 00:00:00",NULL,NULL,2
52,"効率良いリード獲得",5,False,"2021-12-25 00:00:00",NULL,NULL,2
53,"資料作成の効率化",5,False,"2021-12-25 00:00:00",NULL,NULL,2
54,"コンテンツ制作の効率化",5,False,"2021-12-25 00:00:00",NULL,NULL,2
55,"営業・マーケ組織を作る",5,False,"2021-12-25 00:00:00",NULL,NULL,2
56,"その他(営業・マーケ関連)",5,False,"2021-12-25 00:00:00",NULL,NULL,2
57,"貧困・飢餓への取り組み",6,False,"2021-12-25 00:00:00",NULL,NULL,2
58,"食資源・食品",6,False,"2021-12-25 00:00:00",NULL,NULL,2
59,"ヘルスケア・幸福",6,False,"2021-12-25 00:00:00",NULL,NULL,2
60,"次世代教育・社内教育",6,False,"2021-12-25 00:00:00",NULL,NULL,2
61,"ジェンダー",6,False,"2021-12-25 00:00:00",NULL,NULL,2
62,"水資源",6,False,"2021-12-25 00:00:00",NULL,NULL,2
63,"次世代エネルギー",6,False,"2021-12-25 00:00:00",NULL,NULL,2
64,"働きがい・働き方",6,False,"2021-12-25 00:00:00",NULL,NULL,2
65,"まちづくり",6,False,"2021-12-25 00:00:00",NULL,NULL,2
66,"環境への影響",6,False,"2021-12-25 00:00:00",NULL,NULL,2
67,"パートナーシップを探す",6,False,"2021-12-25 00:00:00",NULL,NULL,2
